ID,USER_ID,ORDER_DATE,STATUS,_etl_loaded_at
84,70,2018-03-26,placed,2024-07-02T15:49:39.758831
86,68,2018-03-26,placed,2024-07-02T15:49:39.758831
87,46,2018-03-27,placed,2024-07-02T15:49:39.758831
89,21,2018-03-28,placed,2024-07-02T15:49:39.758831
91,47,2018-03-31,placed,2024-07-02T15:49:39.758831
92,84,2018-04-02,placed,2024-07-02T15:49:39.758831
93,66,2018-04-03,placed,2024-07-02T15:49:39.758831
94,63,2018-04-03,placed,2024-07-02T15:49:39.758831
95,27,2018-04-04,placed,2024-07-02T15:49:39.758831
96,90,2018-04-06,placed,2024-07-02T15:49:39.758831
97,89,2018-04-07,placed,2024-07-02T15:49:39.758831
98,41,2018-04-07,placed,2024-07-02T15:49:39.758831
99,85,2018-04-09,placed,2024-07-02T15:49:39.758831
71,42,2018-03-12,shipped,2024-07-02T15:49:39.758831
72,30,2018-03-14,shipped,2024-07-02T15:49:39.758831
74,9,2018-03-17,shipped,2024-07-02T15:49:39.758831
77,35,2018-03-21,shipped,2024-07-02T15:49:39.758831
78,90,2018-03-23,shipped,2024-07-02T15:49:39.758831
79,52,2018-03-23,shipped,2024-07-02T15:49:39.758831
80,11,2018-03-23,shipped,2024-07-02T15:49:39.758831
81,76,2018-03-23,shipped,2024-07-02T15:49:39.758831
82,46,2018-03-24,shipped,2024-07-02T15:49:39.758831
83,54,2018-03-24,shipped,2024-07-02T15:49:39.758831
85,47,2018-03-26,shipped,2024-07-02T15:49:39.758831
88,91,2018-03-27,shipped,2024-07-02T15:49:39.758831
90,66,2018-03-30,shipped,2024-07-02T15:49:39.758831
1,1,2018-01-01,returned,2024-07-02T15:49:39.758831
8,2,2018-01-11,returned,2024-07-02T15:49:39.758831
14,40,2018-01-17,returned,2024-07-02T15:49:39.758831
18,64,2018-01-20,returned,2024-07-02T15:49:39.758831
2,3,2018-01-02,completed,2024-07-02T15:49:39.758831
3,94,2018-01-04,completed,2024-07-02T15:49:39.758831
4,50,2018-01-05,completed,2024-07-02T15:49:39.758831
5,64,2018-01-05,completed,2024-07-02T15:49:39.758831
6,54,2018-01-07,completed,2024-07-02T15:49:39.758831
7,88,2018-01-09,completed,2024-07-02T15:49:39.758831
9,53,2018-01-12,completed,2024-07-02T15:49:39.758831
10,7,2018-01-14,completed,2024-07-02T15:49:39.758831
11,99,2018-01-14,completed,2024-07-02T15:49:39.758831
12,59,2018-01-15,completed,2024-07-02T15:49:39.758831
13,84,2018-01-17,completed,2024-07-02T15:49:39.758831
15,25,2018-01-17,completed,2024-07-02T15:49:39.758831
16,39,2018-01-18,completed,2024-07-02T15:49:39.758831
17,71,2018-01-18,completed,2024-07-02T15:49:39.758831
19,54,2018-01-22,completed,2024-07-02T15:49:39.758831
20,20,2018-01-23,completed,2024-07-02T15:49:39.758831
